Sampling frequency: 100Hz 
timestamp pitch roll yaw 
1592726092309 0.40707280389206657 -0.08101204081597568 -1.8044301736530775 
1592726092319 0.4041258735789569 -0.07906850824384741 -1.8021625831659982 
1592726092329 0.40097752459171615 -0.07797517542484733 -1.7999679000860695 
1592726092339 0.39761333860144454 -0.0771379390751613 -1.79796118973392 
1592726092348 0.3939659227997677 -0.07623683680728169 -1.7961769193509616 
1592726092359 0.389988093222737 -0.07527440791285339 -1.794511207842935 
1592726092369 0.385827621100097 -0.07435435477208983 -1.7930612103652335 
1592726092379 0.38184828216788447 -0.07380345792066259 -1.7919099477033182 
1592726092388 0.37845899171562464 -0.07397287369355039 -1.7909937455951825 
1592726092398 0.375914744985118 -0.07493181416741752 -1.7902471706164018 
1592726092409 0.3742268823172597 -0.07623321365147985 -1.7896891678519313 
1592726092419 0.373209615882917 -0.07728597861699493 -1.7892850575255748 
1592726092429 0.37251356478019076 -0.07783606479807978 -1.7888850264491607 
1592726092439 0.3717940774034298 -0.07797751986654118 -1.7884098630696217 
1592726092448 0.3707687971451973 -0.07786779060545368 -1.7878959408796442 
1592726092459 0.3693637770796655 -0.07761485674759279 -1.787434859345655 
1592726092469 0.3676705307307637 -0.07735810882789203 -1.7870854930654763 
1592726092479 0.3659674197558824 -0.0770997790698284 -1.7869165111904997 
1592726092489 0.36445013093315337 -0.0767488033430344 -1.7869034487289595 
1592726092498 0.36327297771563055 -0.07629034707213125 -1.7870051055470941 
1592726092509 0.3623887754778149 -0.07576082413566466 -1.7872070630247863 
1592726092519 0.36177353810723806 -0.07530572885433742 -1.787439669635204 
1592726092529 0.36135578581989297 -0.07515176950796854 -1.7875933344664514 
1592726092539 0.3610366672096608 -0.07546098432118661 -1.7876518606230254 
1592726092548 0.36077949061651116 -0.07608396885781309 -1.7876809049714706 
1592726092558 0.36060073486599264 -0.07679405584934829 -1.7877795576499078 
1592726092569 0.36053366859098096 -0.0774694648448796 -1.7879697770373457 
1592726092579 0.3605856749551752 -0.07816973856889295 -1.7882623421043502 
1592726092589 0.36078118218045546 -0.07904239912498698 -1.7886528752496642 
1592726092598 0.36107275637943576 -0.08006741281638667 -1.7891100639101916 
1592726092609 0.3613579333097853 -0.08094273864734562 -1.7895878618198346 
1592726092619 0.3615435483467536 -0.08147201596205629 -1.7899778047912926 
1592726092629 0.36151988420150927 -0.08164194394135507 -1.7901823721403223 
1592726092639 0.361232892627957 -0.08154671849976264 -1.7901529600161172 
1592726092648 0.3607606753766489 -0.08136632362495594 -1.7899258135767437 
1592726092659 0.3602361369273962 -0.08121187085727265 -1.7896338188309293 
1592726092669 0.3596870489745448 -0.08112381028949206 -1.7893506399675305 
1592726092679 0.3592071835685382 -0.08121461682878603 -1.7889957473147449 
1592726092689 0.35878809014089097 -0.08151993605930986 -1.788560587769135 
1592726092698 0.3584543239611978 -0.08200269622205524 -1.788044870806784 
1592726092709 0.35814323718748897 -0.08252727957913589 -1.7875236679491886 
1592726092719 0.3577625949164205 -0.08285816777268346 -1.7870843963160534 
1592726092729 0.35711393529692553 -0.08301024172540801 -1.7867097659629179 
1592726092739 0.3561145412874658 -0.08317867928654367 -1.7863202119274626 
1592726092748 0.3548107038435444 -0.08349774989920805 -1.785915776817408 
1592726092759 0.3533978663517069 -0.08398714776158685 -1.7855300075456781 
1592726092769 0.3520555023802039 -0.08461874346714165 -1.7852016028483033 
1592726092779 0.3508951240774936 -0.08536490600139467 -1.7849890902527936 
1592726092789 0.3499821765764229 -0.0860036184644094 -1.7849488734729542 
1592726092798 0.349327758547804 -0.08645635147396633 -1.7850915123793352 
1592726092809 0.34894874805819354 -0.08687833610963232 -1.7853613535421364 
1592726092819 0.34877074116225815 -0.0873397422785126 -1.785727201153978 
1592726092829 0.3487812780531609 -0.08772312407007286 -1.7861168582557787 
1592726092839 0.3489576762267999 -0.08796527375968646 -1.7865055927736866 
1592726092848 0.3493083918493329 -0.0881359325114651 -1.7868409673991035 
1592726092859 0.34981508778560644 -0.08834008374135845 -1.787122426273122 
1592726092869 0.3503338499759815 -0.08852921619695171 -1.7873869780271736 
1592726092879 0.35073466007584175 -0.08859927435892555 -1.787637465601597 
1592726092888 0.3509376934158196 -0.08856170501125629 -1.78782490070695 
1592726092899 0.3509483245900161 -0.08854344434114282 -1.787921000997931 
1592726092909 0.35084529264218905 -0.08864890350749985 -1.7878964037387246 
1592726092919 0.3507375631031198 -0.08893897716459526 -1.7878054552635139 
1592726092929 0.3507429685498307 -0.08940616990983033 -1.787663397294357 
1592726092939 0.3508413129492703 -0.08978149712441758 -1.7875267997739215 
1592726092949 0.3509211400322703 -0.08986613299074697 -1.7873163335444378 
1592726092959 0.35082131170639547 -0.08975407601193229 -1.7870070664524087 
1592726092969 0.35048063268727114 -0.08964033806070332 -1.786619156027658 
1592726092979 0.34993883054676866 -0.08964861318320592 -1.7861985250740817 
1592726092989 0.3493565468488869 -0.08977259256403851 -1.7858343094783602 
1592726092999 0.34884308960090793 -0.09008489424642512 -1.7855097511054734 
1592726093009 0.34849292401845844 -0.0905814831505013 -1.7852229558257804 
1592726093019 0.3482691579163549 -0.09116546354835024 -1.785008110075929 
1592726093029 0.34808290964221317 -0.09169793029352236 -1.7848360106600887 
1592726093039 0.34787189210006575 -0.09211740992684057 -1.7846865191712766 
1592726093049 0.34757831543471074 -0.09244540939322765 -1.784622574544552 
1592726093059 0.3472710628323253 -0.09268969319355674 -1.78462295043792 
1592726093069 0.3469722654943914 -0.09286031704935246 -1.7847145083495448 
1592726093079 0.34669443180256604 -0.0929807226274711 -1.7848726493307276 
1592726093089 0.34647739747168704 -0.09312856825986784 -1.785097809203341 
1592726093099 0.3463494753287863 -0.09333460896285975 -1.785385863136757 
1592726093109 0.3463977795716023 -0.0937353879890639 -1.7857299182497057 
1592726093119 0.3466823108130457 -0.09428566858305738 -1.7860713459072959 
1592726093129 0.34720655861061844 -0.09494362631234303 -1.7863707824293444 
1592726093139 0.3478790033588086 -0.09564623835830757 -1.7866071069010245 
1592726093149 0.34859508141479395 -0.09621213835034893 -1.7867995752127317 
1592726093159 0.3492001734957539 -0.09652352680562881 -1.7869449308622252 
1592726093169 0.3495009378175885 -0.09653305244955963 -1.7870349327043773 
1592726093179 0.34942305466152024 -0.09635121745797921 -1.7870062460209266 
1592726093189 0.34907579858303683 -0.09614922254350924 -1.786849127528011 
1592726093199 0.34861725510946745 -0.09596619093381778 -1.786592320073692 
1592726093209 0.34817719349591386 -0.09581498229288293 -1.7862380625924121 
1592726093219 0.34777296208498554 -0.09578250736374219 -1.7857798196556136 
1592726093229 0.3474006462633876 -0.09589825291976166 -1.7852474640912566 
1592726093239 0.3470666287540393 -0.0960978432418249 -1.7846389283481245 
1592726093249 0.3466775768789092 -0.0961999163500078 -1.7840405068903145 
1592726093259 0.3461809459339502 -0.09614194525678799 -1.783481077137919 
1592726093269 0.34553778752029335 -0.09594759662047138 -1.7829820327274974 
1592726093279 0.3447760073239069 -0.09571498766307183 -1.7825688119874465 
1592726093288 0.3443764455959738 -0.09564209262062527 -1.7823831185016927 
1592726093299 0.3432666361607997 -0.09583216134572496 -1.78190934888841 
1592726093309 0.3427235888310588 -0.09623581020605451 -1.7816874103681883 
1592726093319 0.34232987793188807 -0.09673322542529546 -1.7815691429862055 
1592726093329 0.3420988544510271 -0.0972916082647964 -1.7815579263880086 
1592726093339 0.34197544688922643 -0.09786502543761444 -1.7816082293863766 
1592726093349 0.34189614991549067 -0.09842499438766436 -1.7817316754531891 
1592726093359 0.3418235082150301 -0.09889130698508793 -1.781950414800096 
1592726093369 0.34174514396556943 -0.09920745130755805 -1.7822505724121045 
1592726093379 0.3417123929601511 -0.09940721807647128 -1.782589163079551 
1592726093389 0.3417352287075585 -0.0995588550241428 -1.7828330936598658 
1592726093398 0.34180815995121294 -0.09973094569308578 -1.7829849326791638 
1592726093409 0.34188902863079923 -0.09994275238692957 -1.7830032186515472 
1592726093419 0.3419414430800342 -0.10010877782417366 -1.7829138577710075 
1592726093429 0.34193251567269545 -0.10014536629893774 -1.782699033991083 
1592726093439 0.341804828220152 -0.10012528819275587 -1.7823337530708723 
1592726093449 0.3415676062142559 -0.10013279199893872 -1.7818609376141237 
1592726093459 0.34129721532859153 -0.1002373044043338 -1.781367726353369 
1592726093469 0.34099743196787047 -0.10042003003233747 -1.7809297152191677 
1592726093479 0.34066539383481126 -0.10065223544037315 -1.7805523726998047 
1592726093489 0.3403191928113509 -0.10096930636118734 -1.7801968265909092 
1592726093499 0.33994239331850495 -0.10132239461160711 -1.779883810286204 
1592726093509 0.33948407265593916 -0.10164114211226802 -1.7796525701728498 
1592726093519 0.33889643741153563 -0.10180505390979541 -1.7795469362266714 
1592726093529 0.33822200912132216 -0.10187312136257898 -1.779487625591451 
1592726093538 0.3374930303752481 -0.10200793964923045 -1.7794415574269178 
1592726093549 0.3367978898352476 -0.10221882235606775 -1.779427730500669 
1592726093559 0.33618356587816833 -0.10246547653977549 -1.7794906729142284 
1592726093569 0.33563250150706764 -0.10283024447503862 -1.7796159437306103 
1592726093579 0.33520154463833285 -0.10338475624536023 -1.7798301646011068 
1592726093588 0.33499261467281194 -0.10411758498287975 -1.7801456226903545 
1592726093599 0.33504842059873324 -0.10481892325567697 -1.7805321005303139 
1592726093609 0.3353296269575741 -0.10534883946973177 -1.7809511216841314 
1592726093619 0.3358340470503372 -0.10566644029249778 -1.7813832842779886 
1592726093629 0.3364900339538582 -0.10578914140241605 -1.7817386852002126 
1592726093638 0.3371855975674568 -0.10571988339079184 -1.7820132407151943 
1592726093649 0.33782054995863997 -0.1055607385577742 -1.7821984037716065 
1592726093659 0.33831213173264835 -0.10538360953384483 -1.7823397418314793 
1592726093669 0.3386203938476951 -0.10524229027552506 -1.7824209886617406 
1592726093679 0.33878111422828805 -0.10512724640830665 -1.7824793908386674 
1592726093688 0.33891577671405904 -0.10499166113307751 -1.7825049186490305 
1592726093699 0.3390009349001771 -0.10477473684546196 -1.782493426248083 
1592726093708 0.33893207266157466 -0.1044566227191244 -1.7824412427342213 
1592726093719 0.3386291436517653 -0.10418211088713153 -1.7823031529197118 
1592726093729 0.33813637004406405 -0.10412857588717449 -1.7820430998886583 
1592726093738 0.3375691787907041 -0.10433007985359308 -1.7816904202246457 
1592726093749 0.3370127369420882 -0.10461450669122001 -1.7813325881433806 
1592726093759 0.33648245551318323 -0.10489572271107366 -1.780994381110941 
1592726093769 0.3359989791252461 -0.10518768994860261 -1.7806836949830973 
1592726093779 0.33543502806415915 -0.10553457178150068 -1.780415631092454 
1592726093789 0.33470289409684334 -0.10586855855580934 -1.7802248813264474 
1592726093799 0.3337517170778054 -0.10611158564652298 -1.780115537504399 
1592726093809 0.3326750869660626 -0.10624958356725299 -1.7800367028169737 
1592726093819 0.33163029055728727 -0.1062687869875088 -1.7800344505251515 
1592726093829 0.3307192005641068 -0.1062675057207104 -1.7801358352796826 
1592726093839 0.3299667917278993 -0.10630098004257439 -1.7803173913641008 
1592726093849 0.3293874160682574 -0.10652714191315636 -1.7805249790320747 
1592726093859 0.32884722853180354 -0.10696254915529807 -1.7807949242218104 
1592726093869 0.3281850470991847 -0.10748145879836914 -1.7811157124564485 
1592726093879 0.32730401678250326 -0.1079073706828629 -1.7814949940847946 
1592726093889 0.32616190876427853 -0.1080609601582173 -1.7819873307268008 
1592726093898 0.32476993685390637 -0.10792613566770648 -1.7826126367573358 
1592726093909 0.32323101835817747 -0.10773165465577303 -1.7833192144283305 
1592726093919 0.32162863090115573 -0.10771455010269478 -1.7840628930122964 
1592726093929 0.32000174687704136 -0.10816242995797404 -1.7848307690346419 
1592726093938 0.3182852093590289 -0.10923315899527622 -1.785619650711272 
1592726093949 0.31644242561342617 -0.11091187934917404 -1.7864402710662293 
1592726093959 0.314402391614509 -0.11298835308729585 -1.7873277082423602 
